"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"28.08.2026","1,545.00","1,555.00","1,555.00","1,545.00","","0.00%"
"27.08.2026","1,545.00","1,555.00","1,555.00","1,545.00","","0.00%"
"26.08.2026","1,545.00","1,555.00","1,555.00","1,545.00","","-0.32%"
"25.08.2026","1,550.00","1,565.00","1,565.00","1,550.00","","-0.32%"
"24.08.2026","1,555.00","1,555.00","1,555.00","1,555.00","","0.97%"
"21.08.2026","1,540.00","1,545.00","1,545.00","1,540.00","","0.00%"
"20.08.2026","1,540.00","1,545.00","1,545.00","1,540.00","","-0.65%"
"19.08.2026","1,550.00","1,565.00","1,565.00","1,550.00","","0.32%"
"18.08.2026","1,545.00","1,555.00","1,555.00","1,545.00","","0.65%"
"14.08.2026","1,535.00","1,540.00","1,540.00","1,535.00","","0.33%"
"13.08.2026","1,530.00","1,540.00","1,540.00","1,530.00","","0.00%"
"12.08.2026","1,530.00","1,540.00","1,540.00","1,530.00","","-0.65%"
"11.08.2026","1,540.00","1,550.00","1,550.00","1,540.00","","0.98%"
"10.08.2026","1,525.00","1,525.00","1,525.00","1,525.00","","0.66%"
"07.08.2026","1,515.00","1,530.00","1,530.00","1,515.00","","-0.33%"
"06.08.2026","1,520.00","1,530.00","1,530.00","1,520.00","","-0.65%"
"05.08.2026","1,530.00","1,545.00","1,545.00","1,530.00","","-0.33%"
"04.08.2026","1,535.00","1,545.00","1,545.00","1,535.00","","-0.65%"
"03.08.2026","1,545.00","1,560.00","1,560.00","1,545.00","","-0.32%"
"31.07.2026","1,550.00","1,565.00","1,565.00","1,550.00","","-0.32%"
"30.07.2026","1,555.00","1,565.00","1,565.00","1,555.00","","-0.32%"
"29.07.2026","1,560.00","1,540.00","1,560.00","1,540.00","","0.00%"
"28.07.2026","1,560.00","1,540.00","1,560.00","1,540.00","","0.65%"
"27.07.2026","1,550.00","1,540.00","1,550.00","1,540.00","","0.98%"
"24.07.2026","1,535.00","1,540.00","1,540.00","1,535.00","","-0.32%"
"23.07.2026","1,540.00","1,560.00","1,560.00","1,540.00","","-0.32%"
"22.07.2026","1,545.00","1,550.00","1,550.00","1,545.00","","0.65%"
"21.07.2026","1,535.00","1,545.00","1,545.00","1,535.00","","0.33%"
"20.07.2026","1,530.00","1,535.00","1,535.00","1,530.00","","0.66%"
"17.07.2026","1,520.00","1,525.00","1,525.00","1,520.00","","0.33%"
"16.07.2026","1,515.00","1,525.00","1,525.00","1,515.00","","-0.33%"
"15.07.2026","1,520.00","1,525.00","1,525.00","1,520.00","","0.66%"
"14.07.2026","1,510.00","1,525.00","1,525.00","1,510.00","","-0.33%"
"13.07.2026","1,515.00","1,525.00","1,525.00","1,515.00","","1.00%"
"08.07.2026","1,500.00","1,520.00","1,520.00","1,500.00","","-0.33%"
"07.07.2026","1,505.00","1,515.00","1,515.00","1,505.00","","0.00%"
"06.07.2026","1,505.00","1,510.00","1,510.00","1,505.00","","0.33%"
"03.07.2026","1,500.00","1,520.00","1,520.00","1,500.00","","-0.99%"
"02.07.2026","1,515.00","1,525.00","1,525.00","1,515.00","","0.00%"
"01.07.2026","1,515.00","1,515.00","1,515.00","1,515.00","","0.66%"
"30.06.2026","1,505.00","1,510.00","1,510.00","1,505.00","","0.33%"
"29.06.2026","1,500.00","1,510.00","1,510.00","1,500.00","","-0.33%"
"26.06.2026","1,505.00","1,525.00","1,525.00","1,505.00","","-0.99%"
"25.06.2026","1,520.00","1,530.00","1,530.00","1,520.00","","0.00%"
"24.06.2026","1,520.00","1,520.00","1,520.00","1,520.00","","1.67%"
"23.06.2026","1,495.00","1,490.00","1,495.00","1,490.00","","0.67%"
"22.06.2026","1,485.00","1,480.00","1,485.00","1,480.00","","1.02%"
"19.06.2026","1,470.00","1,480.00","1,480.00","1,470.00","","-0.34%"
"18.06.2026","1,475.00","1,475.00","1,475.00","1,475.00","","0.68%"
"17.06.2026","1,465.00","1,475.00","1,475.00","1,465.00","","0.34%"
"16.06.2026","1,460.00","1,465.00","1,465.00","1,460.00","","0.69%"
"12.06.2026","1,450.00","1,450.00","1,450.00","1,450.00","","0.69%"
"11.06.2026","1,440.00","1,445.00","1,445.00","1,440.00","","0.00%"
"10.06.2026","1,440.00","1,455.00","1,455.00","1,440.00","","-0.69%"
"09.06.2026","1,450.00","1,455.00","1,455.00","1,450.00","","1.05%"
"08.06.2026","1,435.00","1,435.00","1,435.00","1,435.00","","0.70%"
"05.06.2026","1,425.00","1,435.00","1,435.00","1,425.00","","0.00%"
"04.06.2026","1,425.00","1,435.00","1,435.00","1,425.00","","0.35%"
"03.06.2026","1,420.00","1,430.00","1,430.00","1,420.00","","-0.35%"
"02.06.2026","1,425.00","1,440.00","1,440.00","1,425.00","","0.00%"
"01.06.2026","1,425.00","1,425.00","1,425.00","1,425.00","","0.35%"
"29.05.2026","1,420.00","1,440.00","1,440.00","1,420.00","","0.00%"
"28.05.2026","1,420.00","1,440.00","1,440.00","1,420.00","","-0.70%"
"27.05.2026","1,430.00","1,440.00","1,440.00","1,430.00","","0.00%"
"26.05.2026","1,430.00","1,425.00","1,430.00","1,425.00","","1.06%"
